TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE,field_1,lon,lat,T_11_0,T_11_1,T_11_2,T_11_3,T_11_4,T_11_5,T_11_6,T_11_7,T_11_8,T_11_9,T_11_10,T_11_11,T_11_12,T_11_13,T_11_14,T_11_15,T_11_16,T_11_17,T_11_18,T_11_19,T_11_20,T_11_21,T_11_22,T_11_23,T_12_0,T_12_1,T_12_2,T_12_3,T_12_4,T_12_5,T_12_6,T_12_7,T_12_8,T_12_9,T_12_10,T_12_11,T_12_12,T_12_13,T_12_14,T_12_15,T_12_16,T_12_17,T_12_18,T_12_19,T_12_20,T_12_21,T_12_22,T_12_23,T_13_0,T_13_1,T_13_2,T_13_3,T_13_4,T_13_5,T_13_6,T_13_7,T_13_8,T_13_9,T_13_10,T_13_11,T_13_12,T_13_13,T_13_14,T_13_15,T_13_16,T_13_17,T_13_18,T_13_19,T_13_20,T_13_21,T_13_22,T_13_23,T_14_0,T_14_1,T_14_2,T_14_3,T_14_4,T_14_5,T_14_6,T_14_7,T_14_8,T_14_9,T_14_10,T_14_11,T_14_12,T_14_13,T_14_14,T_14_15,T_14_16,T_14_17,T_14_18,T_14_19,T_14_20,T_14_21,T_14_22,T_14_23,T_15_0,T_15_1,T_15_2,T_15_3,T_15_4,T_15_5,T_15_6,T_15_7,T_15_8,T_15_9,T_15_10,T_15_11,T_15_12,T_15_13,T_15_14,T_15_15,T_15_16,T_15_17,T_15_18,T_15_19,T_15_20,T_15_21,T_15_22,T_15_23
松山區,東勢里,Dongshi Vil.,A,"63000",A01,"63000010",,25.057274_121.55353,121.553529999999995,25.057274000000000,5.899201416015632,6.027049316406252,6.022270263671876,5.971529296875000,5.974677734375008,6.219731201171890,6.068739746093780,5.982933105468750,6.970086425781256,9.266741699218761,11.783945068359383,12.556640380859394,13.095857910156262,12.830935302734330,11.931225341796893,10.223842529296885,8.951570800781262,7.176282714843750,6.273365234375014,6.187433837890636,6.075231689453134,6.054534667968758,5.994487060546882,5.816706298828136,8.688312744140640,8.495248779296888,8.516425537109384,8.485140136718758,8.406193603515630,8.639705078124956,8.529774658203094,8.721487792968768,10.444424804687516,13.182260498046888,15.766531005859372,16.598940673828217,17.385003906250031,16.771340576171962,15.484000000000009,13.880577148437499,11.674262695312487,10.209225830078127,9.404489501953138,9.236255859375014,8.872292236328144,8.742579101562516,8.787321533203141,8.659217285156267,8.464738525390640,8.177641357421891,8.031048339843762,8.209958251953131,8.038101562500007,7.835837158203126,7.760265136718764,7.676818603515644,11.677978271484388,15.763136718749951,18.884555908203158,20.420134521484385,20.948646484375043,20.407389160156342,18.973178955078158,16.926302246093666,14.110751708984376,10.759825195312519,9.661595214843761,9.522331298828131,9.486064208984375,9.184521972656247,8.997959960937516,8.841308349609388,7.093285888671880,6.896210693359376,6.466296142578144,6.179261230468768,5.685596679687502,5.252905029296880,4.774371093750008,4.668936523437506,11.643906005859384,17.095035644531279,20.018147216797004,21.984231201171884,23.063198486328204,22.966939941406267,21.797132324218669,19.407276855468879,15.632183593750009,11.599714111328137,9.919406494140633,9.659245361328139,9.328816894531258,8.509998535156264,8.025141357421886,7.674588378906258,7.655953125000020,7.377715820312518,7.227913574218770,7.129816650390640,6.845674804687516,6.490162109375018,6.309150146484390,6.246756347656262,11.535856689453141,16.207777343750028,19.132206054687529,20.937398925781302,21.205097900390680,20.835946289062623,19.702975097656356,17.386589111328082,13.954122070312508,10.308927978515634,9.131680664062520,9.230337890625009,8.810021728515633,8.271220458984384,8.091714843750005,7.732475341796876
大安區,錦泰里,Jintai Vil.,A,"63000",A02,"63000030",,25.038582_121.53302,121.533019999999993,25.038582000000002,5.777422851562508,5.986082519531252,6.000101074218752,5.855700439453128,6.215593017578140,6.557193359375006,6.283941406250010,6.361741699218760,6.929128173828128,8.993123535156265,11.469926513671890,12.184056152343755,13.294584716796884,12.615058349609381,12.062505859375015,10.454808105468755,8.860665039062514,7.091846679687502,6.196154541015640,6.178068603515634,6.054075683593758,5.776420654296886,5.930115722656256,5.772374023437510,8.438412841796897,8.382958740234391,8.492602294921884,8.853188232421894,8.466885742187504,8.562742675781248,8.624020507812476,8.716308349609394,10.294983886718768,12.617572998046878,15.282609619140629,16.610892578125096,17.143543945312434,16.427453857421906,15.538008789062509,13.466102050781259,11.428420166015631,9.958971923828134,9.280298828125016,9.252865966796890,8.887572998046894,8.796083740234392,8.791531738281266,8.528677734375018,8.506722167968764,8.317468017578136,8.064031738281260,7.987710937500008,8.082947753906252,7.957183593750018,7.895818847656264,7.629976562500016,11.067442382812519,15.733535888671909,18.306468750000096,20.164162841797001,20.703786865234346,19.894742675781256,18.539546142578239,16.525916748046900,13.777067626953134,10.647900146484377,9.486860107421892,9.452834228515636,9.394505371093755,9.271675537109340,8.858782714843770,8.754909423828140,7.418124023437528,7.091133789062514,6.240284423828150,5.977531494140642,5.785441650390642,5.317657226562518,5.078415283203140,4.893179687500012,11.632865966796876,17.057429443359410,20.060459228515541,22.312579589843800,22.914945312500045,22.949623046875004,21.700061279297000,19.517680908203261,15.944378417968752,11.608735107421888,10.134155029296878,9.832764648437513,9.570920166015627,8.797771972656259,8.431789306640630,7.760258544921880,7.850606445312518,7.640322021484392,7.266177734375000,7.158338623046890,6.912841552734394,6.593160156250018,6.386490234375016,6.499823974609384,11.592652343750013,15.833193847656243,18.943936279296860,20.970041748046928,21.315829101562564,21.109860839843719,19.808934570312609,17.615650390624982,14.276214355468753,10.332557128906259,9.298981689453145,9.211034912109383,8.897090820312506,8.593096679687504,8.255729736328126,8.032503417968767
松山區,新益里,Xinyi Vil.,A,"63000",A01,"63000010",,25.057335_121.5741,121.574100000000001,25.057334999999998,6.128886474609376,6.174996826171888,6.224948486328142,6.190523437500016,6.118216308593768,6.157029785156264,6.448857177734386,6.281597656250012,7.293444580078144,9.635989746093751,12.135160400390616,12.827179931640638,13.329002441406256,12.824521240234397,11.336873535156258,10.513853515625003,9.036780761718759,7.211359130859392,6.435914062500006,6.284710449218756,6.172934326171882,6.129419921875004,6.026452392578130,5.976675781250006,8.941416992187508,8.763786376953131,8.623761962890631,8.559089111328131,8.317140869140632,8.464083007812501,8.421388183593722,8.637332519531268,10.555289062500012,13.126420654296890,16.239328857421906,16.771911865234497,17.702602783203204,17.045104003906378,15.525994628906259,14.361858886718762,11.765583251953144,10.277935546875002,9.472577880859388,9.265433105468762,9.165944580078138,9.116199707031258,9.101065429687509,8.957319091796881,8.654284423828134,8.412668212890633,8.359290527343754,8.388832763671894,8.339847167968768,8.193058837890643,8.013107666015642,7.997885498046888,12.087322753906257,15.901328125000028,19.348755126953218,20.731985107421931,20.964659667968800,20.564308105468871,18.981491943359408,16.985990966796816,14.268730224609392,10.939541992187516,9.837225097656257,9.602791503906252,9.581738037109393,9.293533691406266,9.205102294921886,8.843044189453137,7.380116943359392,7.145300048828140,6.819306396484388,6.400732177734390,5.995405029296892,5.581921142578142,4.912153076171876,4.995004638671894,12.423381103515643,17.463033691406306,20.373026367187517,22.398348632812564,23.361214843750130,23.177143798828176,21.878781982421881,19.521649169921822,15.881319335937500,11.713174804687508,9.920855468750004,9.715268310546890,9.384130615234380,8.769074462890632,8.467758056640593,7.951274169921876,7.592923339843764,7.597917236328134,7.542266601562508,7.469733642578128,7.104373535156256,6.751314453125006,6.650046142578126,6.357304443359380,11.919518798828131,16.466218505859434,19.351495605468820,21.175508056640723,21.047267089843785,20.731777587890743,19.661501708984481,17.455807861328100,14.049343017578130,10.386895507812506,9.203953613281266,9.179485839843757,8.671818603515630,8.311218017578128,8.024218749999992,7.802615722656266
信義區,西村里,Xicun Vil.,A,"63000",A17,"63000020",,25.038643_121.55359,121.553590000000000,25.038643000000000,5.715804199218760,5.786611083984382,5.849866699218756,5.707393554687510,5.848608154296880,6.070330566406270,5.962388427734384,6.072988037109394,6.749589599609384,8.908134521484392,11.094402832031252,11.961829589843759,12.921952880859390,12.432598632812509,11.815630859375020,9.868960937500017,8.682680419921892,6.957331298828130,6.071159423828142,6.059697021484386,5.977198242187510,5.681628173828138,5.773113769531262,5.699922851562512,8.286906494140627,8.170919433593735,8.265785888671889,8.496574462890631,7.912803710937516,8.112338623046886,8.167475341796886,8.347021240234380,10.017576660156251,12.809118408203092,15.432333496093740,16.598778320312594,17.251383300781264,16.434271484375039,15.350879882812514,13.697120117187504,11.409317382812503,10.019217285156255,9.252873291015639,9.117546142578142,8.757265380859376,8.743631347656271,8.721622070312518,8.505612548828147,8.213698730468710,7.964965576171894,7.836064208984390,7.874563964843762,7.831814941406258,7.603692382812506,7.464134277343756,7.380945800781254,11.238648437500002,15.604024414062502,18.396743408203239,19.903025146484467,20.771476074218771,20.091174560546921,18.405510498046979,16.592022460937375,13.820988525390630,10.563844970703126,9.560649169921888,9.268025878906265,9.274173339843756,9.040678466796878,8.728854736328126,8.522601074218770,7.176332763671882,6.750149902343754,6.156420654296884,5.655652832031256,5.509268554687506,5.006781982421884,4.646391357421884,4.614512695312508,11.763345703125008,17.310697265625045,20.362287841796903,22.464206787109443,23.157787109375096,22.955587402343767,21.701509033203266,19.379800048828251,15.628360351562506,11.477631591796888,9.928819335937504,9.466296142578145,9.265604003906258,8.565369628906264,8.126752685546888,7.655514892578134,7.623129882812502,7.431435302734394,7.152179931640628,7.158028564453142,6.937752441406270,6.562548583984394,6.301604980468768,6.139452880859388,11.615170654296890,16.035926757812504,19.033774658203143,21.032893310546950,21.277408691406318,20.972103271484308,19.652844482421976,17.257791503906194,14.052485107421880,10.224698242187509,9.087532714843769,9.077327636718760,8.821150878906256,8.363974365234382,8.028449462890631,7.679953369140626
信義區,嘉興里,Jiaxing Vil.,A,"63000",A17,"63000020",,25.02002_121.55365,121.553650000000005,25.020019999999999,5.768348144531254,5.816863769531252,5.813915771484376,5.733060058593754,5.803102783203126,6.019992431640642,5.962859863281268,6.010011962890642,6.966144287109384,9.171724609375008,11.333769287109387,12.155741943359375,13.148031982421882,13.113091796875011,12.146928466796885,10.241785644531255,9.117194580078127,7.159557861328142,6.221730712890632,6.063233398437506,5.926714843750008,5.717819580078134,5.831869873046882,5.868772949218752,8.180309814453128,8.209477294921893,8.115921386718766,8.483993896484380,8.008273681640636,8.130828613281258,8.182804931640630,8.275076660156252,10.311436523437516,12.803293212890644,15.655371337890619,17.241621337890692,17.550708251953210,16.929109130859512,15.514651855468756,14.071247314453140,11.660534423828144,10.159881835937489,9.211507324218765,9.143669189453137,8.938584960937517,8.755323242187519,8.837049316406262,8.511711181640642,8.181965087890644,8.076613525390641,7.865456298828138,7.671121582031264,7.370033935546888,7.196420654296888,7.112073730468762,7.247201904296882,11.560856689453139,16.028747802734372,18.970554443359443,20.421341796875041,20.830282226562559,20.020796142578192,18.564846435546880,16.533699707031150,13.859300048828112,10.767811035156264,9.713559326171881,9.313589843750009,9.161637939453129,9.046323242187484,8.604053710937505,8.322815673828122,6.971130126953138,6.463863281250014,6.027464355468768,5.385477050781258,5.308855712890644,4.898216308593750,4.532328857421876,4.516115478515642,11.711208251953140,17.802561279297006,20.616424804687597,22.864419189453130,23.596014648437539,23.332402587890737,22.014305664062565,19.478242431640645,15.863312744140524,11.475901855468758,9.696644042968751,9.171557617187478,8.887065185546888,8.188091796875018,7.829616455078140,7.303602050781266,7.523411621093754,7.541834472656264,7.206622070312504,7.044720214843752,6.858553222656250,6.615539306640628,6.486384521484384,6.131479248046884,11.785403808593760,16.456429687500069,19.650555664062640,21.460377441406266,21.897273193359410,21.277633300781321,19.996993652343782,17.688772216796892,14.303693603515642,10.421847900390626,9.181723388671887,9.035208496093755,8.744450439453130,8.375401367187505,7.937386230468754,7.524524902343758
信義區,黎平里,Liping Vil.,A,"63000",A17,"63000020",,25.02002_121.55365,121.553650000000005,25.020019999999999,5.768348144531254,5.816863769531252,5.813915771484376,5.733060058593754,5.803102783203126,6.019992431640642,5.962859863281268,6.010011962890642,6.966144287109384,9.171724609375008,11.333769287109387,12.155741943359375,13.148031982421882,13.113091796875011,12.146928466796885,10.241785644531255,9.117194580078127,7.159557861328142,6.221730712890632,6.063233398437506,5.926714843750008,5.717819580078134,5.831869873046882,5.868772949218752,8.180309814453128,8.209477294921893,8.115921386718766,8.483993896484380,8.008273681640636,8.130828613281258,8.182804931640630,8.275076660156252,10.311436523437516,12.803293212890644,15.655371337890619,17.241621337890692,17.550708251953210,16.929109130859512,15.514651855468756,14.071247314453140,11.660534423828144,10.159881835937489,9.211507324218765,9.143669189453137,8.938584960937517,8.755323242187519,8.837049316406262,8.511711181640642,8.181965087890644,8.076613525390641,7.865456298828138,7.671121582031264,7.370033935546888,7.196420654296888,7.112073730468762,7.247201904296882,11.560856689453139,16.028747802734372,18.970554443359443,20.421341796875041,20.830282226562559,20.020796142578192,18.564846435546880,16.533699707031150,13.859300048828112,10.767811035156264,9.713559326171881,9.313589843750009,9.161637939453129,9.046323242187484,8.604053710937505,8.322815673828122,6.971130126953138,6.463863281250014,6.027464355468768,5.385477050781258,5.308855712890644,4.898216308593750,4.532328857421876,4.516115478515642,11.711208251953140,17.802561279297006,20.616424804687597,22.864419189453130,23.596014648437539,23.332402587890737,22.014305664062565,19.478242431640645,15.863312744140524,11.475901855468758,9.696644042968751,9.171557617187478,8.887065185546888,8.188091796875018,7.829616455078140,7.303602050781266,7.523411621093754,7.541834472656264,7.206622070312504,7.044720214843752,6.858553222656250,6.615539306640628,6.486384521484384,6.131479248046884,11.785403808593760,16.456429687500069,19.650555664062640,21.460377441406266,21.897273193359410,21.277633300781321,19.996993652343782,17.688772216796892,14.303693603515642,10.421847900390626,9.181723388671887,9.035208496093755,8.744450439453130,8.375401367187505,7.937386230468754,7.524524902343758
信義區,中行里,Zhongxing Vil.,A,"63000",A17,"63000020",,25.038757_121.594696,121.594695999999999,25.038757000000000,5.655021728515642,5.653106445312512,5.868012451171882,5.804217285156258,5.878818115234380,5.858913330078130,6.120625976562516,5.905866455078126,6.886285156250010,8.775206054687503,11.158707031250003,11.584129394531251,12.302797607421889,11.838632568359378,10.483161376953134,9.850628662109369,8.367352050781259,6.507974609375018,5.876618408203126,5.727725585937500,5.652000488281250,5.668414062500020,5.537524414062514,5.547842773437518,8.553925537109379,8.482422363281207,8.404446777343770,8.140522705078126,8.013733886718752,7.999563232421886,8.064721435546891,7.995049804687516,10.281270507812508,12.287769531250021,15.442004638671865,16.250874267578137,17.077729736328223,15.701961914062494,14.863545898437508,13.135630859374970,11.405309814453137,9.536125244140626,8.974166015625006,8.758858398437511,8.650063232421884,8.731882080078128,8.832656738281216,8.555164550781255,8.290954345703135,8.110883544921881,8.003542236328126,8.240613769531269,7.948641113281266,7.658038818359384,7.492220214843750,7.330112060546876,12.005781005859376,15.809715820312491,18.938784423828267,20.097856689453209,20.612718750000120,19.823396240234512,18.343581787109446,16.111541503906196,13.761176513671884,10.518569091796881,9.286905273437521,8.957669433593770,8.728221679687477,8.485530517578118,8.547897705078142,8.236150878906265,6.817704833984384,6.436502441406264,6.006495117187516,5.705726074218764,5.314375976562516,5.005604003906264,4.744043945312516,4.833586181640638,12.468645996093770,17.601450439453256,20.631739746093714,22.586593261718782,23.414411865234481,23.008908935546881,21.609356933593851,19.163580566406328,15.315445312500014,11.308176025390644,9.231312011718767,8.756391357421892,8.293665527343766,8.186518310546886,7.876669677734382,7.393614257812508,7.011109375000018,7.015459960937514,6.934754394531262,7.011199707031258,6.510662597656262,6.245614990234388,6.122354492187514,6.095815185546888,11.906780761718752,16.449693847656313,19.382387939453150,20.774472900390631,20.822815185547007,20.083719238281208,18.744000488281351,16.905927734374988,13.330040039062499,10.145414794921887,8.589340576171885,8.328565429687506,8.023736328125006,7.897705810546878,7.534106201171894,7.105221923828144
信義區,三犁里,Sanli Vil.,A,"63000",A17,"63000020",,25.038704_121.57416,121.574160000000006,25.038703999999999,5.695368408203130,5.601579345703128,5.692965576171880,5.519281982421880,5.655070556640626,5.618442138671876,5.843581298828140,5.785560058593764,6.687962402343754,8.813041748046889,10.839550537109329,11.666513427734383,12.524490722656266,12.082023681640631,10.904273437500009,9.757114013671886,8.522166503906265,6.653521484375004,5.888328613281262,5.801541503906258,5.734535888671884,5.678119873046882,5.589198974609384,5.637187255859382,8.338455566406266,8.253234619140638,8.218508056640639,8.040072998046886,7.852861083984390,7.891429199218762,7.936438964843760,8.097786621093753,10.062945312500020,12.615914062500019,15.238703369140634,16.279363037109409,17.080685058593790,15.856981445312501,14.784659179687518,13.534372314453112,11.218721679687500,9.882741455078127,9.050323242187511,8.852188476562516,8.628102783203143,8.592668212890640,8.636028808593762,8.588786376953138,8.139893554687518,7.857740234375016,7.865387939453138,7.847563232421884,7.680953125000006,7.473676513671880,7.337259277343758,7.233733886718758,11.525109619140640,15.601016113281274,18.543785644531280,20.068104492187512,20.673882080078194,19.985412841796968,18.367195068359379,16.333739990234282,13.772338623046894,10.385357421875018,9.453871826171881,8.992958740234384,8.849694580078133,8.693630126953130,8.490226806640626,8.286225830078099,6.897912353515636,6.468636230468764,6.182784179687516,5.525412353515642,5.370414794921892,5.080518554687516,4.664499267578144,4.776928466796892,11.996009277343759,17.388645263671943,20.391483398437568,22.335735107421971,23.242879882812520,22.891393066406323,21.559063964843773,19.162105957031251,15.447023681640626,11.213101562500009,9.451646484375004,9.013832275390619,8.599056152343765,8.250118164062515,7.873719238281262,7.397414306640636,7.299856933593752,7.259776367187518,7.114968017578144,7.217731689453138,6.856175292968766,6.453014892578142,6.149538330078142,5.952546142578142,11.614465087890636,16.152352539062523,18.917523437500066,20.797223144531351,20.860233398437568,20.423065429687632,19.003706298828192,16.943871826171836,13.583438476562506,9.968865722656256,8.766044677734392,8.672319091796886,8.371287597656258,8.057416748046881,7.725715087890628,7.322996582031252
大安區,仁慈里,Renci Vil.,A,"63000",A02,"63000030",,25.038643_121.55359,121.553590000000000,25.038643000000000,5.715804199218760,5.786611083984382,5.849866699218756,5.707393554687510,5.848608154296880,6.070330566406270,5.962388427734384,6.072988037109394,6.749589599609384,8.908134521484392,11.094402832031252,11.961829589843759,12.921952880859390,12.432598632812509,11.815630859375020,9.868960937500017,8.682680419921892,6.957331298828130,6.071159423828142,6.059697021484386,5.977198242187510,5.681628173828138,5.773113769531262,5.699922851562512,8.286906494140627,8.170919433593735,8.265785888671889,8.496574462890631,7.912803710937516,8.112338623046886,8.167475341796886,8.347021240234380,10.017576660156251,12.809118408203092,15.432333496093740,16.598778320312594,17.251383300781264,16.434271484375039,15.350879882812514,13.697120117187504,11.409317382812503,10.019217285156255,9.252873291015639,9.117546142578142,8.757265380859376,8.743631347656271,8.721622070312518,8.505612548828147,8.213698730468710,7.964965576171894,7.836064208984390,7.874563964843762,7.831814941406258,7.603692382812506,7.464134277343756,7.380945800781254,11.238648437500002,15.604024414062502,18.396743408203239,19.903025146484467,20.771476074218771,20.091174560546921,18.405510498046979,16.592022460937375,13.820988525390630,10.563844970703126,9.560649169921888,9.268025878906265,9.274173339843756,9.040678466796878,8.728854736328126,8.522601074218770,7.176332763671882,6.750149902343754,6.156420654296884,5.655652832031256,5.509268554687506,5.006781982421884,4.646391357421884,4.614512695312508,11.763345703125008,17.310697265625045,20.362287841796903,22.464206787109443,23.157787109375096,22.955587402343767,21.701509033203266,19.379800048828251,15.628360351562506,11.477631591796888,9.928819335937504,9.466296142578145,9.265604003906258,8.565369628906264,8.126752685546888,7.655514892578134,7.623129882812502,7.431435302734394,7.152179931640628,7.158028564453142,6.937752441406270,6.562548583984394,6.301604980468768,6.139452880859388,11.615170654296890,16.035926757812504,19.033774658203143,21.032893310546950,21.277408691406318,20.972103271484308,19.652844482421976,17.257791503906194,14.052485107421880,10.224698242187509,9.087532714843769,9.077327636718760,8.821150878906256,8.363974365234382,8.028449462890631,7.679953369140626
中正區,林興里,Linxing Vil.,A,"63000",A03,"63000050",,25.019943_121.53311,121.533109999999994,25.019943000000001,5.961580566406250,6.059285644531268,6.034217041015636,5.863541503906262,6.263123535156262,6.467408203125006,6.488257812500004,6.419709228515626,7.083123535156266,9.029581054687508,11.384762939453140,12.072327636718756,13.108776611328135,12.992218994140645,12.297143310546886,10.444889892578130,9.019983886718761,7.190234375000014,6.357013916015632,6.158599609375008,5.951308349609386,5.827930664062508,5.861644042968758,5.990508789062502,8.299069580078147,8.572508300781260,8.465618652343759,8.800553955078081,8.689889892578144,8.683179687500019,8.943932861328136,8.898383544921884,10.477106689453136,12.516702636718753,15.562008300781249,16.578542724609466,16.856225830078234,15.960704101562497,14.985794433593725,13.262034667968765,11.611614746093752,10.085577148437505,9.218237060546890,9.240340332031259,9.067680419921889,8.896666015625014,8.743112548828138,8.608965820312514,8.513665527343761,8.413934082031256,8.131789306640632,7.970538085937504,7.994128173828144,7.677334960937520,7.778501953125014,7.690948242187512,11.497735351562511,16.057535644531253,18.505522705078253,20.148791748047000,20.408329101562607,20.036258789062529,18.406759277343845,16.633799804687371,13.869948486328131,10.787444824218769,9.895634521484380,9.600164550781257,9.571186279296894,9.525286621093764,8.927562011718768,8.720051025390640,7.678255371093762,7.281888183593758,6.513743652343762,5.938896240234392,5.757120117187518,5.258691162109392,4.809394287109390,4.711973632812508,11.694576416015623,17.363236328125076,20.153602539062504,22.340680175781312,23.069403320312578,23.104354492187529,21.759808593750140,19.501150146484509,16.118865722656118,11.576569580078138,10.192598388671854,9.868483642578136,9.572460693359377,8.852770751953130,8.654937500000020,7.835369873046880,7.813626464843770,7.688022216796892,7.216686767578126,7.207826904296892,6.981674560546890,6.640408691406264,6.634283203125010,6.286154541015632,11.776995605468761,16.182640625000026,19.181229492187537,21.129106689453209,21.570915771484479,21.124732910156251,19.869748779297002,17.670524658203121,14.316703857421876,10.411683105468756,9.321557373046891,9.221054443359384,8.907057861328132,8.595660156250004,8.219089111328126,7.717918457031256
信義區,松友里,Songyou Vil.,A,"63000",A17,"63000020",,25.038704_121.57416,121.574160000000006,25.038703999999999,5.695368408203130,5.601579345703128,5.692965576171880,5.519281982421880,5.655070556640626,5.618442138671876,5.843581298828140,5.785560058593764,6.687962402343754,8.813041748046889,10.839550537109329,11.666513427734383,12.524490722656266,12.082023681640631,10.904273437500009,9.757114013671886,8.522166503906265,6.653521484375004,5.888328613281262,5.801541503906258,5.734535888671884,5.678119873046882,5.589198974609384,5.637187255859382,8.338455566406266,8.253234619140638,8.218508056640639,8.040072998046886,7.852861083984390,7.891429199218762,7.936438964843760,8.097786621093753,10.062945312500020,12.615914062500019,15.238703369140634,16.279363037109409,17.080685058593790,15.856981445312501,14.784659179687518,13.534372314453112,11.218721679687500,9.882741455078127,9.050323242187511,8.852188476562516,8.628102783203143,8.592668212890640,8.636028808593762,8.588786376953138,8.139893554687518,7.857740234375016,7.865387939453138,7.847563232421884,7.680953125000006,7.473676513671880,7.337259277343758,7.233733886718758,11.525109619140640,15.601016113281274,18.543785644531280,20.068104492187512,20.673882080078194,19.985412841796968,18.367195068359379,16.333739990234282,13.772338623046894,10.385357421875018,9.453871826171881,8.992958740234384,8.849694580078133,8.693630126953130,8.490226806640626,8.286225830078099,6.897912353515636,6.468636230468764,6.182784179687516,5.525412353515642,5.370414794921892,5.080518554687516,4.664499267578144,4.776928466796892,11.996009277343759,17.388645263671943,20.391483398437568,22.335735107421971,23.242879882812520,22.891393066406323,21.559063964843773,19.162105957031251,15.447023681640626,11.213101562500009,9.451646484375004,9.013832275390619,8.599056152343765,8.250118164062515,7.873719238281262,7.397414306640636,7.299856933593752,7.259776367187518,7.114968017578144,7.217731689453138,6.856175292968766,6.453014892578142,6.149538330078142,5.952546142578142,11.614465087890636,16.152352539062523,18.917523437500066,20.797223144531351,20.860233398437568,20.423065429687632,19.003706298828192,16.943871826171836,13.583438476562506,9.968865722656256,8.766044677734392,8.672319091796886,8.371287597656258,8.057416748046881,7.725715087890628,7.322996582031252
中正區,文祥里,Wenxiang Vil.,A,"63000",A03,"63000050",,25.038582_121.53302,121.533019999999993,25.038582000000002,5.777422851562508,5.986082519531252,6.000101074218752,5.855700439453128,6.215593017578140,6.557193359375006,6.283941406250010,6.361741699218760,6.929128173828128,8.993123535156265,11.469926513671890,12.184056152343755,13.294584716796884,12.615058349609381,12.062505859375015,10.454808105468755,8.860665039062514,7.091846679687502,6.196154541015640,6.178068603515634,6.054075683593758,5.776420654296886,5.930115722656256,5.772374023437510,8.438412841796897,8.382958740234391,8.492602294921884,8.853188232421894,8.466885742187504,8.562742675781248,8.624020507812476,8.716308349609394,10.294983886718768,12.617572998046878,15.282609619140629,16.610892578125096,17.143543945312434,16.427453857421906,15.538008789062509,13.466102050781259,11.428420166015631,9.958971923828134,9.280298828125016,9.252865966796890,8.887572998046894,8.796083740234392,8.791531738281266,8.528677734375018,8.506722167968764,8.317468017578136,8.064031738281260,7.987710937500008,8.082947753906252,7.957183593750018,7.895818847656264,7.629976562500016,11.067442382812519,15.733535888671909,18.306468750000096,20.164162841797001,20.703786865234346,19.894742675781256,18.539546142578239,16.525916748046900,13.777067626953134,10.647900146484377,9.486860107421892,9.452834228515636,9.394505371093755,9.271675537109340,8.858782714843770,8.754909423828140,7.418124023437528,7.091133789062514,6.240284423828150,5.977531494140642,5.785441650390642,5.317657226562518,5.078415283203140,4.893179687500012,11.632865966796876,17.057429443359410,20.060459228515541,22.312579589843800,22.914945312500045,22.949623046875004,21.700061279297000,19.517680908203261,15.944378417968752,11.608735107421888,10.134155029296878,9.832764648437513,9.570920166015627,8.797771972656259,8.431789306640630,7.760258544921880,7.850606445312518,7.640322021484392,7.266177734375000,7.158338623046890,6.912841552734394,6.593160156250018,6.386490234375016,6.499823974609384,11.592652343750013,15.833193847656243,18.943936279296860,20.970041748046928,21.315829101562564,21.109860839843719,19.808934570312609,17.615650390624982,14.276214355468753,10.332557128906259,9.298981689453145,9.211034912109383,8.897090820312506,8.593096679687504,8.255729736328126,8.032503417968767
